"music_title","difficulty_name","music_id","difficulty_id","count","played","comp","ex_comp","uc","per","grade_C","grade_B","grade_A","grade_Ap","grade_AA","grade_AAp","grade_AAA","grade_AAAp","grade_S","grade_995","grade_998","avg_score","sd_score","avg_skill_u8","avg_skill_9","avg_skill_10","avg_skill_11","avg_skill_12_n","avg_skill_12_g","avg_skill_12_h","avg_vf_u7","avg_vf_8_i_ii","avg_vf_8_iii_iv","avg_vf_9_i","avg_vf_9_ii","avg_vf_9_iii","avg_vf_9_iv","avg_vf_10_i","avg_vf_10_ii","avg_vf_10_iii","avg_vf_10_iv"
"Cloud 9","EXHAUST","1118","3","3422","1431","198","1191","506","96","3394","3386","3374","3364","3328","3263","2969","2541","1748","855","363","9799899","499423","9020085","8868533","9361187","9797522","9901094","9929705","9964961","9330433","9729236","9854095","9902579","9925384","9938800","9959767","9960824","9972002","9988435","9900368"
"Cloud 9","MAXIMUM","1118","4","3499","659","1102","1597","109","32","3479","3457","3422","3408","3356","3010","2319","1634","802","329","150","9679875","528340","9527368","8226312","8662705","9462766","9736249","9834218","9910478","8699351","9385619","9611780","9700676","9785120","9841663","9886349","9928600","9934964","9968835","9981798"
"A Lasting Promise","NOVICE","1119","1","81","15","0","5","12","49","81","81","80","80","78","78","78","74","67","62","57","9925827","228735","9896109","9620910","9682803","9986323","9998232","10000000","10000000","9812826","9987566","9993369","9998342","10000000","9996684","9998526","10000000","10000000","0","10000000"
"A Lasting Promise","ADVANCED","1119","2","1178","715","37","238","142","46","1176","1175","1173","1170","1157","1093","864","622","304","148","86","9768309","301806","9290934","9503316","9685137","9779225","9870949","9916195","9982075","9619619","9759770","9832814","9880124","9916151","9932422","9975860","9976316","10000000","9984970","9996660"
"A Lasting Promise","EXHAUST","1119","3","3659","748","644","1883","335","49","3646","3645","3609","3597","3461","3212","2557","1878","1128","427","147","9724201","405792","9327665","8808428","9195606","9589581","9806092","9861810","9928475","9127025","9542632","9696392","9791809","9846400","9882152","9923438","9930875","9938637","9942503","9978662"
"A Lasting Promise","MAXIMUM","1119","4","3205","592","1510","1057","44","2","3188","3177","3111","3047","2718","1978","1151","652","253","87","30","9526787","433448","9326620","8967205","9117071","9146205","9543192","9683158","9816957","8001455","8956509","9337705","9499792","9610472","9687706","9779447","9845351","9861352","9906230","9946682"
"Last Resort","NOVICE","1120","1","80","17","0","3","11","49","80","80","80","79","78","78","76","73","63","60","54","9932115","170149","9878589","9629907","9992730","9979212","9980371","10000000","10000000","9843920","9979099","9968496","10000000","10000000","10000000","9997274","10000000","10000000","0","10000000"
"Last Resort","ADVANCED","1120","2","806","436","27","192","88","63","802","802","802","799","794","779","701","578","358","202","127","9817040","467526","9357365","9606303","9781843","9857389","9941304","9609528","9986935","9719872","9845852","9906887","9940699","9727398","9967465","9987600","9997572","10000000","10000000","10000000"
"Last Resort","EXHAUST","1120","3","3666","650","420","2028","430","138","3663","3661","3653","3649","3624","3538","3291","2921","2147","1136","553","9860712","233670","9402011","9301387","9571127","9795061","9911456","9934748","9966119","9519373","9765018","9856328","9907005","9930233","9945402","9963893","9969192","9976581","9983875","9994272"
"Last Resort","MAXIMUM","1120","4","3159","619","1528","1004","7","1","3127","3070","3008","2975","2892","2476","1483","897","312","86","18","9547544","620993","9152167","9599358","9121576","9056513","9620617","9746811","9841542","7355294","8682072","9332157","9590823","9688245","9750443","9819226","9868070","9888926","9917226","9947162"
"I","NOVICE","1121","1","290","114","9","28","43","96","290","289","289","287","284","275","253","244","214","173","142","9888442","237507","9762545","9726865","9811909","9927271","9974602","9984632","9849021","9821771","9962434","9916913","9979891","9992299","9973704","9979652","8640120","10000000","10000000","9999061"
"I","ADVANCED","1121","2","2279","1069","208","580","328","94","2254","2254","2248","2244","2237","2205","2091","1860","1360","796","341","9808142","702192","8740955","9392084","9572150","9817909","9901074","9950285","9887365","9466801","9811225","9883296","9856235","9954225","9954035","9878886","9976708","10000000","10000000","9998887"
